EAN;CODIGO;DESCRICAO
7898040321642;38;ABRILAR 65MG C/10 SACHES EFV
7898040320973;39;ABRILAR XPE 100ML
;40;ABSTEN S C/20 COMP            B2
;41;ACARSAN 25% SOL 80ML
;42;ACCOLATE 20MG C/28 COMP
;43;ACCOLATE 20MG CX 56 COMP
;44;ACCU CHEK  ACTIVE EQUIPAMENTO
;45;ACCU CHEK KIT ACTIVE
;46;PROT.SUNLESS KIDS FPS 50 120GR
;47;ACCU CHEK ACTIVE C/10 TIRAS
;49;ACCU CHEK ACTIVE C/50 TIRAS
;50;ACCU CHEK KIT ADVANTAGE
;51;ACCU CHEK  ADVANTAGE MONITOR
;52;ACCU CHEK  ADVANTAGE SOLUCAO CONTROLE
;53;ACCU CHEK ADVANTAGE C/10 TIRAS
;54;ACCU CHEK ADVANTAGE C/25 TIRAS
;55;ACCU CHEK ADVANTAGE C/50 TIRAS
;56;ACCU CHEK KIT GO
;57;ACCU CHEK  GO MONITOR
7896714225562;58;TILUGEN XPE 120ML NEO QUIMICA
;59;ACCU CHEK  GO C/10 TIRAS
;60;ACCU-CHEK GO TIRAS 25
;62;ACCU-CHEK SOFTCLIX LANCETADOR +8% IPI
;63;ACCU-CHEK SOFTCLIX LANCETAS 200 +8% IP
4015630018277;64;ACCU CHEK SOFTCLIX C/25 LANC
;65;ACCU CHEK  SOFTCLIX PRO LANCETADOR
4015630019632;66;ACCU CHEK  SOFTCLIX PRO LANCETAS 200
;67;ACCU CHEK  SOFTCLIX XL LANCETA 50
;68;ACCUPRIL 10MG CX 28 COMP
;69;ACCUPRIL 20MG CX 28 COMP
;70;ACCUSPORT BM LACTATO CONTROLE 2X4ML
;71;ACCUSPORT BM LACTATO TIRAS 25 UNID
;72;ACCUTREND BM LACTATO EQUIP
;73;ACCUTREND CONTROL COLESTEROL
;74;ACCUTREND CONTROL GLICOSE
;75;ACCUTREND CONTROL TRIGLICERIDES
;76;ACCUTREND GC EQUIPAMENTO
;77;ACCUTREND GCT EQUIPAMENTO
;78;ACCUTREND TIRA COLESTEROL 25 UNID
;79;ACCUTREND TIRA GLICOSE 25 UNID
;80;ACCUTREND TIRA TRIGLICERIDES 25 UNID
;81;ACCUVIT C/30 COMP
;82;ACEBROFILINA XPE ADU 120MLNEO QUIMICA
;83;ACEBROFILINA XPE AD 120ML
;84;ACEBROFILINA XPE AD 120ML+CM
;85;ACEBROFILINA XPE AD 120ML MEDLEY
7896004710464;86;ACEBROFILINA XPE INF 120ML EMS
;87;ACEBROFILINA XPE PED 120ML
;88;ACEBROFILINA 25MG XPE 120ML
7891317002688;89;ACEBROFILINA XPE INF 120ML EUROFARMA
;90;ACEBROFILINA 25MG XPE INF 120ML+CM
7896004710471;91;ACEBROFILINA EMS XPE AD 120ML EMS
;92;ACEBROFILINA 50MG XPE ADU 120ML
7891317002695;93;ACEBROFILINA XPE AD 120ML EUROFARMA
;94;ACEBROFILINA 50MG XPE 120ML
7896004710495;95;ACEBROFILINA 50MG XPE 120ML
;96;ACEBROFILINA 5MG XPE 120ML+CM
;97;ACEBROFILINA BIO XPE INF 120ML
;98;ACEBROFILINA UNQ XPE INF 120ML
;99;ACEBROFILINA XPE PED 120ML MEDLEY
;100;ACEBROFILINA 5MG XPE INF 120ML
;101;ACECLOFENACO 100MG 12CPR RANBAXY
7897076909343;102;ACECLOFENACO 100MG 24CPR RANBAXY
;103;ACEMEDROX CX 5 COMP
7893454300115;104;ACERATUN SOL FR 10ML
;105;ACEROGRIP C 1G TB 10 COMP
;106;ACETAMIL 200MG SOL GTS FR 20ML
;107;ACETAMIL 750MG CX 100 COMP
;108;ACET DE DEXAMETASONA CR DERM 10G
;109;ACET DE DEXAMETASONA CR DERM 10G
7898148294596;110;ACET DE DEXAMETASONA CR DERM 10G
;111;ACET DE HIDROCORTIS 10MG CR 20G
;112;ACET DE HIDROCORTISONA 10MG POM BG 15
;113;ACET DE HIDROCORTISONA 10MG POM BG 30
;114;ACET DE HIDROCORTISONA 10MG CR
;115;ACET DE HIDROCORTISONA 10MG POM
;116;ACETATO DE HIDROCORTISONA CREME BG 30G
;117;ACETATO DE PREDNISOLONA 1% SOL FR 5ML
;118;ACETICIL 100MG C/10
;119;ACETICIL 500MG CX 500COMP
;120;ACETILCISTEINA UNQ 10% 5AMP 3ML
;121;ACETILCISTEINA 100MG 1 ENV X 5G
;122;ACETILCISTEINA 100MG 1 ENV X 5G
7891317001056;123;ACETILCISTEINA 100MG INF 16ENV EUROFARMA
;124;ACETILCISTEINA 100MG GRAN 1 ENV X 5G
;125;ACETILCISTEINA 100MG GRAN 1 ENV X 5G
;126;ACETILCISTEINA MED 100MG PD 16EV
;127;ACETILCISTEINA 100MG GRAN 5G FRAC C/1
7896004708706;128;ACETILCISTEINA 200MG 16ENV EMS
;129;ACETILCISTEINA 200MG C/16ENV
7891317001063;130;ACETILCISTEINA 200MG AD 16ENV EUROFARMA
;131;ACETILCISTEINA 200MG 1 ENV X 5G
;132;ACETILCISTEINA 200MG GRAN 1 ENV X 5G
;133;ACETILCISTEINA MED 200MG AD 16EV
;134;ACETILCISTEINA 200MG GRAN 1 ENV X 5G
;135;ACETILCISTEINA 20MG XPE 100ML+DOS
;136;ACETILCISTEINA XPE 100ML EUROFARMA
;137;ACETILCISTEINA 20MG XPE FR 100ML
;138;ACETILCISTEINA 20MG XPE FR 100ML
;139;ACETILCISTEINA UNQ XPE 120ML
;140;ACETILCISTEINA XPE 150ML EUROFARMA
;141;ACETILCISTEINA 20MG XPE FR 150ML
;142;ACETILCISTEINA 20MG XPE INF FR 120ML
7896004715285;143;ACETILCISTEINA XPE INF 120ML GERMED
7896004715292;144;ACETILCISTEINA XPE INF 120ML EMS
;145;ACETILCISTEINA 100MG GRAN 16 ENV X 5G
;146;ACETILCISTEINA 20MG/G GRAN 200ENV X 5G E
;147;ACETILCISTEINA 20MG/ML XPE FR 100ML
;148;ACETILCISTEINA 20MG/ML XPE FR 150ML+CM
;149;ACETILCISTEINA 40MG XPE ADU FR 120ML
7896004713373;150;ACETILCISTEINA ADU 120ML GERMED
7896004713366;151;ACETILCISTEINA XPE AD 120ML EMS
;152;ACETILCISTEINA 200MG GRAN 16 ENV X 5G
;153;ACETILCISTEINA 40MG/G GRAN 200 ENV X 5G
;154;ACETILCISTEINA 600MG 1 ENV X 5G
7896004713328;155;ACETILCISTEINA 600MG 16ENV GERMED
7891317001070;156;ACETILCISTEINA 600MG 16ENV EUROFARMA
;157;ACETILCISTEINA 600MG GRAN 1 ENV X 5G
;158;ACETILCISTEINA MED 600MG C/16ENV
7896004713342;159;ACETILCISTEINA 600MG 16ENV EMS
;160;ACETILCISTEINA 600MG GRAN 1 ENV X 5G
;161;ACETILCISTEINA XPE FR 100ML
;166;ACETITOL 200MG SOL ORAL GTS 15ML
;167;ACETITOL 500MG CX 200 COMP
;168;ACETITOL 750MG CX 20 COMP
;169;ACETITOL 750MG CX 200 COMP
;170;ACETOFEN 200MG SOL OR GTS FR 15ML
;171;ACETOFEN 500MG CX 50BL X 4 COMP EM
;172;ACETOFEN 750MG CX 20 COMP
;173;ACETOFEN 750MG CX 50BL X 4 COMP EM
;174;ACETOFEN SOL FR 10ML
;175;ACETOFLUX 10MG CX 14 COMP
;176;ACETOFLUX CX 5 COMP
7896004713618;177;ALG ACETON+ENAN ESTRADI EMS 1ML 10554
;178;ACETONIDO DE ALGESTONA+ENANTATO DE ESTRA
7896004713625;179;ALG ACETON+ENAN ESTRADI GMD 1ML
;180;ACFOL 5MG CX 40 COMP
;181;ACFOL 5MG SOL GTS FR 10ML
7896658006432;182;ACHEFLAN CR 30G
;183;ACIBIO 200MG CX 25 COMP
;184;ACIBIO 400MG CX 70 COMP
;185;ACIBIO 50MG BG 10G
;186;ACICLOFAR CREME BG 10G
;187;ACICLOMED 50MG CREME BG 10G
;188;ACICLOR 200MG CX 25 COMP
;189;ACICLOR 50MG CREME TB 10G
;190;ACICLOVAN 200MG CX 25 COMP
;191;ACICLOVAN 50MG CREME DERM BG 10G
;192;ACICLOVIR 200MG CX 10 COMP
;193;ACICLOVIR 200MG CX 10 COMP
7897076907400;194;ACICLOVIR 200MG 10CPR RANBAXY
7897076907417;195;ACICLOVIR 200MG CX 25 COMP
;196;ACICLOVIR 200MG CX 25 COMP
;197;ACICLOVIR 200MG CX 25 COMP NEO
;198;ACICLOVIR 200MG CX 25 COMP
7897595602626;199;ACICLOVIR 200MG 25CPR SANDOZ
;200;ACICLOVIR 200MG FR 10 COMP
7891721279010;201;ACICLOVIR 200MG 25CPR MERCK
7891721023477;201;ACICLOVIR 200MG 25CPR MERCK
;202;ACICLOVIR 200MG FR 25 COMP
;203;ACICLOVIR 250MG SOL INJ 50 FA
7897076907424;204;ACICLOVIR 400MG 10CPR RANBAXY
;205;ACICLOVIR RAN 400MG C/25 COMP
7897595603494;206;ACICLOVIR 400MG 30CPR SANDOZ
;207;ACICLOVIR 400MG CX 70 COMP
;208;ACICLOVIR MER 400MG C/30 COMP
;209;ACICLOVIR 400MG FR 70 COMP
;210;ACICLOVIR 50G CREME BG 10G
7896523207629;211;ACICLOVIR 50MG CREME BG 10G
7896714265308;212;ACICLOVIR 50MG CREME BG 10G
7896714203096;212;ACICLOVIR 50MG CREME BG 10G
;213;ACICLOVIR CR 10GR GERMED
;214;ACICLOVIR 50MG CREME BG 10G
;215;ACICLOVIR 50MG CREME BG 10G
;216;ACICLOVIR 50MG CREME BG 10G
;217;ACICLOVIR UNQ CR 10G
7894916143295;218;ACICLOVIR 50MG CREME DERM BG 10G LEGRAND
;219;ACICLOVIR 50MG CREME DERM BG 10G
;220;ACICLOVIR 50MG CREME DERM BG 10G
;221;ACICLOVIR 50MG/G CR DERM CX 100BG X10G H
7898148299317;222;ACICLOVIR 50MG/G CREME DERM BG 10G
7896004715933;223;ACICLOVIR 50MG CR 10G EMS
7896004771199;223;ACICLOVIR 50MG CR 10G EMS
7896422505741;224;ACICLOVIR CR 10GR MEDLEY
;225;ACIDERM 200MG CX 10 COMP
;226;ACIDERM 20MG POM BG 30G
;227;ACIDEX CX 20 COMP
;228;ACIDEX SUS ORAL FR 150ML
;229;ACIDEX SUS ORAL FR 240ML
7896004713182;230;ACIDO ACETIL EMS 100MG INF 100CP (FRACIONADO) 10531
;231;ACIDO ACETIL EMS 100MG INF 200CP
;232;ACIDO ACETILSALICILICO 100MG CX 200 COMP
7896004710891;233;ACIDO ACETIL EMS 100MG INF C/30 10425
;234;ACIDO ACETILSALICILICO 500MG CX 200 COMP
7896004768397;235;ACIDO ACETILSALICILICO 500MG 10CPR EMS 10159
7896004703572;235;ACIDO ACETILSALICILICO 500MG 10CPR EMS 10159
;236;ACID MEFENAMICO BIO 500MG C/24CP
;237;ACIDOGEL 80+80+6MG SUS FR 240ML
;238;ACIFOLICO 5MG CX 20 COMP
;239;ACINIC 500MG C/30 COMP
;240;ACINIC 750MG CX 30 COMP
;241;ACIVERAL 200MG CX 25 COMP
;242;ACIVERAL 400MG CX 70 COMP
;243;ACIVERAL CREME BG 10G
;244;ACIVIRAX 200MG CX 25 COMP
;245;ACIVIRAX CREME BG 5G
7896261010451;246;ACLASTA 5MG 100ML X1
7897595635259;246;ACLASTA 5MG 100ML X1
;247;ACNASE CR 20G
7896082900047;248;ACNASE GEL BISN 20G
;249;ACOBELIN 0,4MG XPE FR 120ML
;250;ACROMAX 10 FLAC X 10ML
;251;ACROMAX 50 FLAC X 10ML
;252;ACROSIN CX 100 FLAC X 5ML
;253;ACROSIN CX 20 DRG
;254;ACROSIN CX 5 AMP X 5ML
;255;ACTICALCIN 100UI CX 5 AMP X 1ML
;256;ACTICALCIN 50UI CX 5 AMP X 1ML
;257;ACTICALCIN 50UI CX 5AMP X1ML+5SER X 2,5M
7898040320782;258;ACTIFEDRIN C/20 COMP NOVO   D1
7898040324452;259;ACTIFEDRIN XPE 100ML NOVO   D1
7898040320799;259;ACTIFEDRIN XPE 100ML NOVO   D1
;260;ACTIVE C XL FUIDE 30ML
;261;ACTIVE C CR 30ML
;262;ACTIVE C XL 30ML
;263;ACTIVE C OLHOS 15ML
;264;INAT.ACTIVELLE C/28 COMP
;265;ACTONEL 5MG CX 14 COMP
;266;ACTONEL 5MG C/28 COMP
;267;ACTONEL 35MG C/2 COMP
;268;ACTONEL 35MG C/4 COMP
;269;ACTOS 15MG C/15 COMP
;270;INATIVO.ACTOS 30MG C/15 COMP
;271;ACTOS 45MG C/15 COMP
;272;ACULAR COL 5ML
;273;ACULAR 5MG 12 FLAC S/CONS 0,4ML
7897473201637;274;ADACNE 1MG GEL 30G        C2/AD
;275;ADALAT RET 10MG C/30 COMP
;276;ADALAT 10MG C/60 CAPS GEL
;277;ADALAT RET 20MG C/30 COMP
;278;ADALAT OROS 20MG C/15 COMP
;279;ADALAT OROS 30MG C/15 COMP
;280;ADALAT OROS 60MG C/15 COMP
;281;ADALEX 20MG CX 30 COMP
;282;ADALEX 20MG CX 30 COMP RET
;283;ADAPALENO EMS CR 30G       C2/AD
;284;ADAPALENO 1MG CREME BG 30G
;285;ADAPALENO 1MG CREME BG 30G
;286;ADAPALENO GEL 30GR EMS
;287;ADAPALENO 1MG GEL BG 30G
7896004712697;288;ADAPALENO GEL 30GR GERMED
;289;ADAPALENO BIO GEL 0,1% 30G C2/AD
;290;ADEDERME POM 45G
;291;ADEDERME POM BG 45G VERSAO PRAIA
7892828000019;292;ADEFORTE AMP ORAL 3ML
7892828001016;292;ADEFORTE AMP ORAL 3ML
;293;ADEFORTE ORAL 3ML C/ 25 AMP
;294;ADEFORTE CX X 3 AMP
7890282800022;295;ADEFORTE GTS 15ML
7892828000026;295;ADEFORTE GTS 15ML
7892828001047;295;ADEFORTE GTS 15ML
;296;ADEGRIP CX 100 DRG
;297;ADEGRIP CX 20 DRG
;298;ADELFAN ESIDREX 0,1+10+10MG CX 20 COMP
;299;ADENOCARD 3MG CX 2AMP X 2ML
;300;ADENOCARD 3MG CX 50 AMP X 2ML
;301;ADEPREV FR 30 CAP
;302;ADERMYKON-C SOL FR 10 ML
;303;ADEROGIL D3 4400/22000UI SOL OR 1AMP 3
;304;ADEROGIL D3 4400/22000UI SOL OR 1AMP 50
;305;ADEROGIL D-3 GTS 10ML
7896112452461;306;AD-MUC 10% POM BG 10G
;307;ADNASAL SOL ADU FR 15ML
;308;ADNASAL SOL INF FR 15ML
;309;ADNAX AD GTS 20ML
7898040320683;310;ADOLESS C/28 COMP
;311;ADPREX CX 30 CAP
;312;ADRECON 1MG CREME DERM 100 BG X 10G
;313;ADRECON 1MG CREME DERM BG 10G
;314;ADRECON 4MG SOL INJ CX 100FA X 2,5ML
;315;ADRENOPLASMA SOL FR 500ML C/EQUIP
;316;ADRENOPLASMA SOL FR 500ML S/EQUIP
;317;ADRENOXIL 5MG CX 100 AMP X 1ML EM
;318;ADRENOXIL 5MG CX 5AMP X 1ML
;319;ADRENYL XPE FR 100ML
;320;ADRIBLASTINA RD 10MG INJ CX 1FA
;321;ADRIBLASTINA RD 50MG INJ CX 1 FA
;322;AD-TIL GTS 10ML
5702191025583;323;ADVANTAN 1% CREME
7795320050127;323;ADVANTAN 1% CREME
5702191025590;324;ADVANTAN 1% LC DERM 20G
7795320050646;324;ADVANTAN 1% LC DERM 20G
7891106910712;325;ADVANTAN 1% SOL 20ML
7795320050165;325;ADVANTAN 1% SOL 20ML
5702191025538;325;ADVANTAN 1% SOL 20ML
;326;ADVIL C/20 COMP
;327;ADVIL C/100 COMP
;328;ADVIL SUS ORAL FR 100ML
;329;ADVNASAL 0,9% SOL GTS+CGT FR 30ML
;330;ADVNASAL 0,9% SPRAY NAS 30ML
;331;AEROCORT SPRAY C/200 DOSES
7896112147640;332;AERODINI 100MCG SOL SPRAY FR 200 DOS
;333;AERODINI 4MG SOL ORAL FR 120ML
;334;AERODIOL FR 4,2ML
;335;AEROFLUX EDULITO SOL 120ML
;336;AEROFRIN XPE 120ML
7897473203082;337;AEROGOLD SPRAY C/200 DOSES
7897473201071;337;AEROGOLD SPRAY C/200 DOSES
;338;AEROGREEN 2MG CX 20 COMP
;339;AEROGREEN 2MG XPE 100ML
;340;AEROGREEN 4MG CX 20 COMP
;341;AEROJET 2MG CX 20 COMP
;342;AEROJET 4MG CX 20 COMP
;343;AEROJET SPRAY C/ ESPAC X 200 DOS
;344;AEROJET SPRAY FR 200 DOS
;345;AEROJET XPE FR 100ML
;346;AEROLIN 2MG C/20 COMP
;347;AEROLIN 4MG C/20 COMP
;348;AEROLIN SOL INJ CX 5 AMP X 1ML
7896269900068;349;AEROLIN SOL GTS 10ML
7896269900150;350;AEROLIN SPRAY C/200 DOSES
;351;AEROLIN XPE 120ML
;352;AEROMED 2MG CX 20 COMP
;353;AEROMED LIQ XPE FR 120ML
;354;AEROTAMOL 2MG CX 20 COMP
;355;AEROTAMOL 4MG CX 20 COMP
;356;AEROTAMOL XPE FR 120ML
;357;AEROTIDE SPRAY FR 200 DOS
;358;AEROTRAT 2MG CX 20 COMP
;359;AEROTRAT 2MG XPE FR 100ML
;360;AETHOXYSKLEROL 0,5% SOL INJ CX 5AMP X 2M
;361;AETHOXYSKLEROL 1% SOL INJ CX 5AMP X 2ML
;362;AETHOXYSKLEROL 3% SOL INJ AMP X 2ML
;363;AFBM C/30 CAPS
;364;AFEBRIN FR 20 COMP
;365;AFEBRIN GTS FR 15ML
;366;AFEBRIN XPE FR 60ML
;367;AFFINATO 500MG CX 30 CAP
;368;AFFINICAL 500MG CX 30 CAP
;369;AFOPIC 5MG CX 20 COMP
;370;AFRIN AD 12H 10ML
;371;AFRIN AD 12H 30ML
;372;AFRIN PED NAS 20ML
;373;AFRIN SOL NAT 30ML
;374;AFRIN OFT 20ML
7898158690517;375;AFTINE SUS ORAL FR 20ML
;376;AFTJET FR GTS 20ML
;377;AFTODERM SUS FR 50ML
;378;AG DERM 10MG CREME DERM 50 BG X 50G
;379;AG DERM 10MG CREME DERM BG 30G
;380;AG DERM 10MG CREME DERM BG 50G
;381;AGAROL 0,334/282,25/2,72MG FR 240ML SB M
;382;AGAROL 0,334/282,25/2,72MG FR 240ML SB T
;383;AGAROL MORANGO 240ML
;384;AGAROL 240ML TRADICIONAL
;385;AGASTEN XPE 120ML
;386;AGASTEN C/15 COMP
;387;AGENERASE 150MG CX 240 CAP
;388;AGENERASE 15MG SOL ORAL FR 240ML
;389;AGILISIN SOL TOP FR 50ML
;390;AGIOLAX 5G GRAN C/20 ENV
;391;AGIOLAX 100G
;392;AGIOLAX 250G
;393;AGLUCIL CX 30 COMP
7894916503761;394;AGLUCOSE 100MG C/30 COMP
7894916503754;395;AGLUCOSE 50MG C/30 COMP
;396;AGRASTAT 50ML CX 1FA
;397;AGREAL 100MG CX 20 CAP
;398;AGUA DE MELISSA SOL FR 50ML
7896023705397;399;AGUA INGLESA 500ML CAT
7896512900036;400;ANJO THINNER 2750 5L
;401;AGUA P/ INJECAO CX.C/100 AMP.PLASTICA 10ML
;402;AGUA P/ INJECAO CX.C/100 AMP.PLASTICA 5ML
;403;AGUA P/ INJECAO CX.C/100 AMP.PLASTICA 10ML
;404;AGUA P/INJECAO CX.C/100 AMP X 5ML
;405;AGUA P/ INJECAO SOL FR 10ML
;406;AGUA PARA INJECAO 25 AMP X 10ML
;407;AGUA TERMAL AVENE FR 150ML +22% IPI
3282779003131;408;AVENE AGUA TERMAL 300ML
;409;AGUA TERMAL AVENE FR 50ML +22% IPI
3433422404397;410;AGUA TERMAL SPRAY 150ML
;411;AGUA TERMAL SPRAY 50ML
;412;AGUARDENTE ALEMA FR 30ML
;413;AIRCLIN 50MCG SPR NAS 15ML  NOVO
;414;AKERAT CREME BG 200ML +22% IPI
7898940448128;415;AKINETON 2MG C/80 COMP C1
7896255711005;415;AKINETON 2MG C/80 COMP C1
7898940448074;416;AKINETON RET 4MG C/30 DRG C1
7896255711043;416;AKINETON RET 4MG C/30 DRG C1
;417;AKINETON 5MG INJ CX 5AMP X 1ML
;418;ALBA 3 200MG CX 2 COMP
;419;ALBA 3 400MG SUS ORAL FR 10ML
;420;ALBAVERMIN CX 2 COMP
;421;ALBAVERMIN SUS FR 10ML
7899095201330;422;ALBEL 400MG 1 COMPRIMIDOS
7899095201934;422;ALBEL 400MG 1 COMPRIMIDOS
;423;ALBENDAL 200MG CX 2 COMP
;424;ALBENDAL 400MG CX 1 COMP
;425;ALBENDAL 400MG SUS FR 10ML
;426;ALBENDAZOL 200MG CX 2 COMP
;427;ALBENDAZOL EMS 200MG C/2COMP MAS
;428;ALBENDAZOL 200MG CX 2 COMP MAST
7896004710457;429;ALBENDAZOL 400MG 1CPR GERMED
;431;ALBENDAZOL 400MG CX 1 COMP
7898148295210;432;ALBENDAZOL 400MG 1CPR PRATI
;433;ALBENDAZOL 400MG CX 1 COMP MAST
;434;ALBENDAZOL ABT 400MG C/1 COMP
;435;ALBENDAZOL 400MG C/ 1 HOSP 100 (POP)
;436;ALBENDAZOL EMS 400MG C/1 COMP
7896422511728;437;ALBENDAZOL 400MG 1CPR MEDLEY
;438;ALBENDAZOL NEO 40MG SUS FR 10ML
;439;ALBENDAZOL MED 40MG SUSP OR 10ML
;440;ALBENDAZOL 40MG SUS FR 10ML
7896004702452;441;ALBENDAZOL 40MG 10ML EMS
;442;ALBENDAZOL 40MG SUS FR 10ML
7896112147909;443;ALBENDAZOL 40MG SUS ORAL FR 10ML
;444;ALBENDAZOL 40MG SUS ORAL FR 10ML
;445;ALBENDAZOL 40MG SUS ORAL FR 10ML
;446;ALBENDAZOL 40MG/ML SUS OR 1 FR X 10ML #
;447;ALBENDAZOL 40MG/ML SUS OR 1 FR X 10ML#
7898148292936;448;ALBENDAZOL 40MG/ML SUS ORAL FR 10ML
;449;ALBENDAZOL 40MG/ML SUS ORAL FR VD 10ML
;450;ALBENDROX 10ML SUS
;451;ALBENDROX 200MG CX 2 COMP
;452;ALBENDROX 400MG CX 1 COMP
;453;ALBENDY 4% SUS FR 10ML
;454;ALBENDY 400MG CX 1 COMP
;455;ALBENIX 200MG CX 2 COMP
;456;ALBENIX 400MG CX 1 COMP
;457;ALBENIX 40MG SUS FR 10ML
;458;ALBENTEL 400MG CX 1 COMP
;459;ALBENTEL 400MG CX 5 COMP
;460;ALBENTEL 40MG SUS FR 10ML
;461;ALBENZONIL 200MG CX 2 CAP
;462;ALBENZONIL 400MG CX 1 CAP MAST
;463;ALBENZONIL 40MG SUS FR 10ML
;464;ALBEZIN 400MG CX 1 COMP
;465;ALBEZIN 400MG SUS FR 10ML
;466;ALBICON CX 50 SACH X 3G
;467;ALBICON PO TOP 20G          NOVO
;468;ALBISTIN 100MUI SUS ORAL FR 40ML
;469;ALBISTIN 25MUI CREME VAG BG 60G
;470;ALBISTIN 500MUI CX 16 COMP
7896094922013;471;ALBOCRESIL C/6 OVULOS
7896641800023;471;ALBOCRESIL C/6 OVULOS
7896094922020;472;ALBOCRESIL GEL C/APL 50G
7896641800016;472;ALBOCRESIL GEL C/APL 50G
7896094922006;473;ALBOCRESIL SOL 12ML
7896641800030;473;ALBOCRESIL SOL 12ML
;474;ALBUMAX 20% INJ CX 1FA 50ML+EQ
;475;ALBUMINAR 20% INJ FR 50ML
;476;ALBUREX 20% INJ CX 1 FA X 50ML
;477;ALCA LUFTAL GEL 120ML
;478;ALCACHOFRA 400MG CX 50 CAP
;479;ALCACHOFRA COMPOSTA 200MG CX 100 DRG
;480;ALCACHOFRA COMPOSTA 200MG CX 30 DRG
;481;ALCACHOFRA COMPOSTA CX 100 DRG
;482;ALCACHOFRA COMPOSTA CX 200 DRG
;483;ALCACHOFRA COMPOSTA CX 30 DRG
;484;ALCACHOFRA PURA CRONIN CX 100 DRG
;485;ALCACHOFRA PURA CRONIN CX 30 DRG
;486;ALCACHOFRAX FR 100 COMP
;487;ALCAFELOL LIQ FR 150ML
;488;ALCAFLOR CX 100 DRG
7894164000999;489;ALCAGEST 350MG CX 45 CAP
7894164007516;489;ALCAGEST 350MG CX 45 CAP
;490;ALCALONE PLUS CX 20 COMP MAST
;491;ALCALONE PLUS LIQ FR 240ML
;492;ALCYTAM 20MG C/14 COMP        C1
8902220105683;493;ALCYTAM 20MG C/28 COMP        C1
7891268100204;494;ALDACTONE 100MG C/16 COMP
7891268100211;495;ALDACTONE 25MG C/30 COMP  NOVO
7891268100228;496;ALDACTONE 50MG C/30 COMP  NOVO
;497;ALDARA 250MG CX 12 SACH
7891268100303;498;ALDAZIDA 50MG C/30 COMP
;499;ALDOCOR 250MG CX 30 COMP
;500;ALDOCOR 500MG CX 30 COMP
7895858005917;501;ALDOMET 250MG C/30 COMP
;502;ALDOMET 500MG CX 30 COMP
;503;ALDOSTERIN 100MG CX 16 COMP
;504;ALDOSTERIN 25MG CX 20 COMP
;505;ALDOTENSIN 250MG CX 20 COMP
;506;ALDOTENSIN 500MG CX 20 COMP
;507;ALENDIL 10MG CX 15 COMP
;508;ALENDIL 10MG CX 30 COMP
;509;ALENDIL 5MG CX 30 COMP
;510;ALENDIL 70MG CX 2 COMP
;511;ALENDIL 70MG C/4 COMP
;512;ALENDIL 70MG C/8 COMP
;513;ALENDIL CALCIO 70MG C/4CP+60CS
;514;ALENDRIN 10MG CX 30 COMP
;515;ALENDRONATO DE SODIO 10MG CX 15 COMP
;516;ALENDRONATO DE SODIO 10MG CX 15 COMP
;517;ALENDRONATO DE SODIO 10MG CX 30 COMP
;518;ALENDRONATO DE SODIO 10MG CX 30 COMP
;519;ALENDRONATO SOD EUR 10MG C/30 CP
